promney,rfrac
0.07600411794113135,0.12
0.16592868418045442,0.2
0.15736993342829173,0.21
0.1562626913418898,0.25
0.38730942935379614,0.37
0.3433417893020537,0.48
0.4363548812404863,0.495045049995
0.6629987434514406,0.613602161068
0.7064242689987614,0.622712664188
0.6571705346121293,0.631663214171
0.7856696706563211,0.65
0.765973855207855,0.69
0.7448727995045945,0.6927879677490001
0.7387321395163858,0.7100759969179999
0.7182842872934145,0.727629403743
0.7510526932210163,0.746992518724
0.8390312963920981,0.74990266718
0.7516052744602355,0.751584517328
0.7210393890582342,0.761289271476
0.7539835395749873,0.769906661891
0.8915651459799842,0.77
0.9194409857389618,0.78
0.8112625660706976,0.81
0.8437382820802429,0.819588181112
0.9873857074873924,0.8232733638609999
0.8577478815282421,0.84
0.9050386303303994,0.86
0.9760480675348732,0.89
0.9306728267548215,0.9
0.8902766441590603,0.94
