promney,rfrac
0.010851169223267933,0.0
0.10711921101036706,0.01
0.1117010918236245,0.02
0.026630075575252675,0.03
0.12127559966536833,0.04
0.08372340163236225,0.05
0.1760720428317109,0.06
0.07352634376430672,0.07
0.08324583228883382,0.08
0.13110606687967719,0.09
0.015764221463440475,0.1
0.07373396428858413,0.11
0.07600411794113135,0.12
0.06553744623425933,0.13
0.08152299475398597,0.14
0.18617836633229878,0.15
0.170277642003655,0.16
0.18387627969556133,0.17
0.06368328249484953,0.18
0.17873330088880643,0.19
0.16592868418045442,0.2
0.15736993342829173,0.21
0.25831086327326025,0.22
0.248754757021264,0.23
0.24307746419834814,0.24
0.1562626913418898,0.25
0.21105179402240218,0.26
0.20990424234464142,0.27
0.28191313160794396,0.28
0.16913090081534068,0.29
0.2615127375692104,0.3
0.31906156395618496,0.31
0.25378545877088254,0.32
0.3466414059774242,0.33
0.31789573372410496,0.34
0.2677367943613568,0.344715713763
0.24865184895739167,0.35
0.3393871693513941,0.36
0.38730942935379614,0.37
0.3631066918523136,0.38
0.32646028039251457,0.39
0.2617678954489107,0.4
0.3735278645397795,0.41
0.4620205278891079,0.42
0.4147123211989489,0.43
0.3666912732338081,0.437548745744
0.4421657475043414,0.44
0.3695566565323468,0.45
0.4228239653548697,0.46
0.5049676560473753,0.47
0.34334178930205367,0.48
0.43907965986756003,0.49
0.3867344439803124,0.494577827691
0.4363548812404863,0.495045049995
0.5121830798922975,0.5
0.5360892273146866,0.51
0.5367243461167995,0.52
0.45967622678334075,0.5212557181759999
0.6580880316764974,0.526608256625
0.5747133058532913,0.53
0.5979667576107717,0.533768322344
0.5795950236863925,0.535968242653
0.6411892440617469,0.536595231099
0.5622139826399121,0.54
0.5629212653803212,0.55
0.42855932692047627,0.555768229232
0.5674933338856595,0.56
0.6214551600384168,0.566962655606
0.6949742299374505,0.57
0.5419823924891531,0.58
0.5395961668388425,0.581132682743
0.5776681465093877,0.5833460980640001
0.5835380525915128,0.586109458683
0.6535455867905549,0.59
0.5678792582016038,0.59377225715
0.5999398958490796,0.5951620681650001
0.5360821328381316,0.5964327370629999
0.7863878733802232,0.599565182829
0.5654980332392254,0.6
0.7004915759411072,0.604597804063
0.5206296982799075,0.6067705682060001
0.6153213524509192,0.609101715955
0.5625586780327815,0.609942963817
0.6565635902620801,0.61
0.6629987434514406,0.613602161068
0.636365101087335,0.62
0.618069589341936,0.620264804946
0.7064242689987614,0.622712664188
0.7357088466901898,0.63
0.6871657093959609,0.630689163061
0.7001015233941175,0.630713611303
0.6571705346121293,0.631663214171
0.7025948111267282,0.6363394863
0.7131123349450831,0.637120887523
0.660813892741203,0.637934935907
0.7392217413791634,0.64
0.6912115192410665,0.6411151139419999
0.7585437889035888,0.643961373544
0.7916379377294852,0.644105818069
0.7444854475623436,0.6483259091179999
0.7856696706563211,0.65
0.644433904556161,0.652101949208
0.6883337762571966,0.657765110628
0.659653023894713,0.65885591997
0.5862471720979628,0.66
0.7718732615480102,0.661118032911
0.5848940467386082,0.667211088011
0.6119239709098707,0.6691718597699999
0.6476021653785171,0.66984294239
0.7619521120756026,0.67
0.7470791484927892,0.671733304102
0.7576635502165334,0.674383748821
0.6793719386742963,0.677893359134
0.7724434888072425,0.68
0.8183226556340439,0.680288730915
0.8198435971518938,0.6809237634849999
0.765973855207855,0.69
0.7448727995045945,0.6927879677490001
0.6596242122541156,0.699991152419
0.679758131124788,0.7
0.5849852210293846,0.7015919138310001
0.8120337434218693,0.701927056203
0.5261853737988901,0.703369306523
0.7613508156756328,0.705206764272
